Longitude,Latitude,x,y,PM25 Annual Ground,PM25 Winter Ground,PM25 Spring Ground,PM25 Summer Ground,PM25 Fall Ground,SO2 Annual Ground,SO2 Winter Ground,SO2 Spring Ground,SO2 Summer Ground,SO2 Fall Ground,NOX Annual Ground,NOX Winter Ground,NOX Spring Ground,NOX Summer Ground,NOX Fall Ground,NH3 Annual Ground,NH3 Winter Ground,NH3 Spring Ground,NH3 Summer Ground,NH3 Fall Ground,PM25 Annual 150m,PM25 Winter 150m,PM25 Spring 150m,PM25 Summer 150m,PM25 Fall 150m,SO2 Annual 150m,SO2 Winter 150m,SO2 Spring 150m,SO2 Summer 150m,SO2 Fall 150m,NOX Annual 150m,NOX Winter 150m,NOX Spring 150m,NOX Summer 150m,NOX Fall 150m,NH3 Annual 150m,NH3 Winter 150m,NH3 Spring 150m,NH3 Summer 150m,NH3 Fall 150m,PM25 Annual 300m,PM25 Winter 300m,PM25 Spring 300m,PM25 Summer 300m,PM25 Fall 300m,SO2 Annual 300m,SO2 Winter 300m,SO2 Spring 300m,SO2 Summer 300m,SO2 Fall 300m,NOX Annual 300m,NOX Winter 300m,NOX Spring 300m,NOX Summer 300m,NOX Fall 300m,NH3 Annual 300m,NH3 Winter 300m,NH3 Spring 300m,NH3 Summer 300m,NH3 Fall 300m
-86.2825,33.1661,105,39,121392.76402,145514.249159,115654.615751,100776.299801,123396.691893,20511.560204,23171.3886145,25980.0069668,22243.1037326,10373.0269034,4904.44111125,11158.1570297,5380.40871128,1505.78320092,1523.31208423,80045.8769101,95613.9152548,75673.2737941,81290.7084058,67526.4132483,73867.6194143,99067.472267,62273.4268683,52994.3545322,80838.6246206,20726.5432284,21750.9833183,27081.1387491,22041.2662278,11520.5109902,3497.85367475,7993.92063701,3703.33044121,985.562786889,1180.93423859,53150.9735641,66814.0820995,43017.9020732,53041.8655537,49683.4993368,62355.1507992,81966.7559232,54433.8906264,46404.520259,66323.1864013,19904.3370795,21737.4278803,26057.8567942,19410.5704911,12102.778329,3141.67525393,7046.95600871,3309.05711416,1043.23921476,1083.62744122,46417.350451,55083.7845082,37682.2811999,48038.9045948,44693.4496406
-88.0103,31.0069,101,32,109245.694253,125149.449359,94235.3012455,96416.5962425,120706.963275,19996.679484,27394.1521048,23462.4921602,17825.0555607,10955.682051,3764.69853687,7853.52978386,4533.81532148,1406.55917236,1202.92429213,62478.1073802,79754.2591593,51807.7268085,61451.7214346,56818.5570794,67054.4800423,86962.2061695,51068.4779141,50545.4255923,79212.4881131,19624.1990536,25351.0288458,22286.1628055,18064.5678187,12250.7526619,2918.8619521,6654.88579747,3047.17242178,855.416761903,995.589679048,40243.8933649,55872.9041013,30865.0862044,32905.4557272,41290.5183152,56883.8573118,72759.6880063,45463.8340991,44417.7801794,64476.5894665,18800.8004152,23812.9542204,21511.5266262,17112.8054055,12376.8656765,2631.11379397,5840.2031172,2832.88644449,831.405963579,934.719397725,35314.8580729,47634.3699446,27413.1148263,30311.5502314,35875.6493681
-85.9731,33.5883,105,40,125269.883515,150875.73641,112188.362882,108265.91436,129434.97425,20525.3635385,24172.8858463,24895.447122,22655.7787891,10100.6634927,5212.71464005,11721.2591026,5651.52842923,1798.92597212,1621.49119104,76277.9726494,97646.6564366,64748.3439411,71454.0856813,71165.9720219,75137.0569055,98841.8030828,60904.5505627,57294.8338248,83251.5435164,20627.2212266,21902.7801108,26105.4393115,23034.7287334,11129.0750008,3711.45878581,8375.11253102,3913.98521071,1186.14593521,1238.47435518,51137.3743095,68468.8792408,38354.540326,46789.8404726,50853.0148499,63287.7308126,81677.9209441,53259.3259549,50313.9270707,67647.0448856,19602.6666458,19754.3016553,25328.0727644,21101.0188184,11924.6135225,3331.94662863,7352.65218086,3474.46202937,1290.90784322,1123.27981205,44671.172107,55971.3330995,34149.0233321,43336.2839305,45017.682914
-87.9106,31.4858,101,33,74404.4787123,88140.1747309,60314.4814784,63684.8551011,85270.9726979,18866.87811,23303.1444582,21988.7210953,19287.1825222,10593.4950987,3391.1026175,7748.62472377,3338.24194454,1338.66890735,1096.84483213,44572.0124231,57219.0178613,32255.2494211,46614.2493981,42135.4677453,50554.1771762,69163.5813166,35301.5781182,35451.4473961,61950.5317343,19577.8521919,22776.6229535,23053.8706569,19804.0181533,12016.4564317,2590.40856639,6193.74818239,2337.27285437,800.533161464,903.147217329,32373.9126077,44210.0892819,22814.6787861,28171.5315514,34268.902576,44118.9316682,59782.7603962,32148.8026022,31455.0575397,52733.3396277,19833.0084995,24489.0168685,22222.5680337,19934.8437768,12334.2250358,2395.63038221,5521.57971649,2186.36721808,988.472899843,810.005242358,30644.8608431,39955.4354409,21468.2500707,27988.1829606,33060.3087436
-87.0214,34.6292,102,43,131019.412144,153900.960066,114844.490049,107338.338759,147790.637971,22427.0264663,28486.8091208,26532.789143,22693.4625966,11664.3594133,6482.20375396,14554.9905099,6620.23039848,2261.9609583,2413.07607068,72841.6181204,98088.0090298,56539.3262152,51728.1680563,84913.3065336,79761.3367265,103582.753112,64018.0390111,57894.0933595,93356.5105047,22611.4528637,26083.4064808,27392.7931257,23764.6853983,12773.7079731,4677.44497523,10934.4380015,4433.87560659,1422.72165925,1774.73929655,53266.3724326,76150.1099851,37063.46264,36772.6032018,62916.8117782,67198.0722241,85667.4282963,56290.8324792,51090.0961468,75548.4696563,21813.3855833,24263.9004449,27043.1710869,22092.1667572,13489.8917174,4130.28666306,9428.85142449,3889.71224184,1402.18419716,1690.98514812,46972.8376116,62572.347674,33861.7260102,35939.3311533,55205.1005868
-86.5736,32.3814,104,37,85514.9702396,106888.974379,80580.455327,61470.9419508,92794.7208273,18182.5773683,22206.5200661,22969.1224788,16632.4568013,10462.2835449,4173.97620312,9979.27405005,3730.89591174,1530.36070926,1411.94879489,53773.4986888,63681.1353259,43010.8479742,60785.0176091,47487.9465785,55785.7920493,77770.2391119,44989.1672414,34194.2043505,65841.8098899,18793.9515826,20561.4749921,24614.5291744,17982.6373047,11655.5171287,2856.56238412,6969.83211085,2589.67795593,628.282568638,1105.89689551,36673.2398207,48086.8579597,27587.1941151,32962.7025108,37894.248615,48266.6805984,66381.674177,40161.3628441,30275.0990713,55897.8989333,18044.5232494,18895.8346848,23970.1556818,16813.0704319,12188.758729,2603.23091686,6188.16676857,2387.75995155,745.383485543,1004.39712176,35987.4054735,42092.7421698,25240.2126236,39720.9291901,36562.4425414
-86.4567,33.2442,104,39,121392.76402,145514.249159,115654.615751,100776.299801,123396.691893,20511.560204,23171.3886145,25980.0069668,22243.1037326,10373.0269034,4904.44111125,11158.1570297,5380.40871128,1505.78320092,1523.31208423,80045.8769101,95613.9152548,75673.2737941,81290.7084058,67526.4132483,73867.6194143,99067.472267,62273.4268683,52994.3545322,80838.6246206,20726.5432284,21750.9833183,27081.1387491,22041.2662278,11520.5109902,3497.85367475,7993.92063701,3703.33044121,985.562786889,1180.93423859,53150.9735641,66814.0820995,43017.9020732,53041.8655537,49683.4993368,62355.1507992,81966.7559232,54433.8906264,46404.520259,66323.1864013,19904.3370795,21737.4278803,26057.8567942,19410.5704911,12102.778329,3141.67525393,7046.95600871,3309.05711416,1043.23921476,1083.62744122,46417.350451,55083.7845082,37682.2811999,48038.9045948,44693.4496406
-85.9708,34.0128,105,42,126639.413905,151890.347936,112243.051756,107180.129061,135005.598604,21633.1363598,25492.254478,27566.7816773,22549.1194835,10638.7295446,5934.84199074,13133.8864103,6703.30545339,1946.39204993,1887.29420756,74101.1972592,97309.4562116,66104.9217409,57157.8618388,75748.9291708,76608.2887573,101539.14479,61154.3953613,57130.0584505,86360.2452787,21574.2158784,23375.9261111,27784.4876402,22998.9589937,11699.5030256,4183.82015968,9333.51558157,4512.28104185,1330.64500826,1417.94723325,51497.9626166,70801.5713086,40247.6264667,39991.8764682,54867.3099371,64475.4692363,83840.1379275,53484.5068468,50264.0607813,70066.6038166,20730.1709435,22021.5859229,27034.69376,21145.7372052,12392.0636573,3709.88387033,8131.41012412,3978.20967457,1327.16592598,1305.65317192,44778.3704186,57864.6519126,35872.6806594,36718.35566,48461.1323605
-87.2003,33.6446,102,40,121770.336395,148034.226375,105966.019073,95511.694593,137342.719726,21808.9683884,24360.230635,28522.3646574,23506.1738329,10520.1089933,5398.55817007,11832.5641915,5950.88657035,2051.6930269,1703.75486861,81452.14373,100947.307928,78070.2252301,69410.1516448,77317.1588609,75379.1638705,102432.686029,58559.4682587,51922.1065748,88318.2351707,21853.6867188,22979.981464,28541.0633248,23692.8363535,11618.8696749,3787.78026949,8587.4249695,3912.63807649,1226.50530752,1295.16862833,55498.4194018,72432.1261899,47348.2460115,47025.3218397,55142.5186202,63583.0928007,84759.6252064,51520.4039596,45884.2212004,71888.4969023,20856.161687,23344.4195817,27441.7232831,20092.1849469,12222.3994938,3375.61373413,7555.75423961,3464.29325121,1207.85043352,1185.23599769,49276.0824255,59933.5153126,42048.1225744,45924.7248693,49021.7107586
-87.7811,32.6017,101,37,72879.0614502,92863.0269233,63467.4401412,52232.2786457,82718.8812902,18533.256366,22461.261843,22363.7522505,18201.5816661,10730.0610286,3788.92018979,9485.49035701,3129.72153111,1174.46290653,1323.00937712,45023.763723,56714.868041,37321.9910358,43743.5437998,42252.8361942,50105.9230702,71425.4862247,37084.9206254,30564.5933978,61053.5614349,19165.3296216,21192.0216744,23909.6970843,18984.0595265,12126.5249938,2769.42834271,7070.22654202,2176.2609671,639.944785264,1069.39107081,34065.2895923,45439.317425,26108.2938853,29026.8036547,35619.4013095,44074.7636928,61814.2338507,33672.1105006,27490.7311746,53016.4449348,18306.5928689,20395.2040667,23088.3387606,16918.988615,12507.5803376,2540.91337675,6287.07593343,2022.52287758,800.709897286,970.986013374,33339.1925291,41096.3344961,24501.5544648,31701.9228365,35807.8472708
