"fips","NOx_AP2","NOx_EASIUR","NOx_InMAP","SO2_AP2","SO2_EASIUR","SO2_InMAP"
1001,5765.47601890786,6809.04795414692,13832.5123098695,36817.6035897348,43610.7051276781,41132.4082554293
1003,5271.80661391752,6074.88220469773,15746.7431883213,36915.5547971614,41862.9407425819,44607.6710122785
1005,5536.39448521295,6398.69109326008,13221.2501032131,38274.0178262019,44381.0196775034,37894.3935104358
1007,6457.44006362096,7315.68061945391,19230.4655867911,37934.02286663,46245.8818957988,54408.4073734922
1009,8293.7370091137,9762.57707847541,26343.7299116575,47973.7225997528,49302.1530040342,75985.9109278119
1011,5662.04696322942,6532.26711447617,14381.1814764921,38436.6934510658,44701.1285933139,40642.1027796549
1013,5414.46035672183,6050.51739798887,13754.7273503958,34163.300084849,42996.2696080357,40777.9401595513
1015,8519.76325561118,9314.5806176004,23939.1651325916,51897.6647841781,48548.1078915232,72116.8071749188
1017,6605.21195419849,7333.0285609906,20266.8178107249,45178.0698080151,44162.0605295995,61170.752530625
1019,9165.97599969591,10394.6758546024,27580.6287413474,53812.5281149216,50331.0741067647,86003.6393613567
1021,6111.06583773055,7256.11819821994,20651.8263798722,38820.0778225815,46194.6347159666,61501.6139458973
1023,6032.32176911085,5844.84604338967,16342.9067892137,33664.3781861235,41596.0067899004,43315.0487416057
1025,5420.9132966324,5826.97746605235,13681.1800307249,32603.9595066253,43821.1354563966,40897.7188771077
1027,7038.43001008727,7821.14539165759,17153.7017063243,44981.8813662752,44570.9359097646,48065.206948212
1029,8248.96080014404,9430.24507568111,22372.1334045871,50729.851676256,46800.8638243071,67289.6039775762
1031,5581.105688072,6322.51284739438,13206.3958435933,35956.1599472501,43945.7156298591,38872.7954644405
1033,9195.81380445355,10096.4599053567,21303.2254676442,55206.2157884168,52631.6450095108,56462.3456399891
1035,5281.06781780527,5758.17147614092,11186.0160903705,34133.5446211648,42884.1586873763,38049.5825044618
1037,6179.59094576658,7188.49992685814,21207.5969635368,41293.3783131597,45182.8309073596,62547.2850513853
1039,5317.76160035908,6050.02280028902,8067.15151609646,34066.2329605263,43010.3660157889,24388.3629588007
1041,5524.42469338422,6183.86050471857,12823.4940330639,35529.5898496037,43123.4404832735,37012.927123045
1043,8339.35829752091,9867.33737770097,27705.3558532335,47195.6427934798,49594.2490037801,75614.8160284157
1045,6856.83760704365,6351.73148587884,12503.5203195164,38176.4696566608,43612.4620076071,36625.8841456158
1047,5852.73155427323,6283.69268059083,16710.843904121,36391.7052218977,43164.3272286227,43244.8990368586
1049,7982.88212204591,10647.7180053063,28331.7413869343,58740.8580452635,50370.124111304,85172.3963504806
1051,5826.25239856239,6876.62213218048,15516.3511879439,39911.7167701223,44372.7735965409,45994.3241578643
1053,4887.29546981838,5880.02591157913,9085.06998222941,31969.2615115952,43335.633364657,30198.9867989805
1055,8802.23647479838,10067.4606620351,25472.2077038897,51828.0215710399,49100.863769423,75877.8594552312
1057,7597.01451710591,8112.69271924351,22643.3331446554,42297.2156740065,49575.8001792243,50942.7144498085
1059,8994.05217216635,9539.00352840984,25203.1987804484,44385.0819337151,51514.6796539339,60196.5930299902
1061,6011.082105913,6451.6350606976,9713.25158162641,34640.7439646378,43947.6296298852,29852.9649040447
1063,6540.33585583656,6714.95687816523,18868.3162886173,36277.1427863467,46559.7696917911,43171.789898508
1065,6329.48203554915,6626.95288381449,15349.1639775706,36408.3641211698,46224.1044703764,39684.3653668969
1067,6345.50387493754,6292.17700347051,9072.43117299137,36894.5708246652,43832.5788186106,27182.6196229414
1069,6188.55745528636,6500.60039367277,11181.1547133259,36357.9627167643,44451.2532813489,32294.8216449752
1071,8391.55820431917,10578.7632623219,28414.2679683553,59507.930150144,50297.230241305,84324.6953768959
1073,7141.42569169515,8875.71977155764,25066.390640409,49700.7616083179,48149.8532090929,78510.4744180736
1075,7951.34982467238,7793.2746093437,23303.0174682743,41297.7337225689,48489.5437878933,51158.9668167922
1077,8983.73786928717,10512.7007808313,27580.0912138345,54771.9316323143,53922.0860222406,66487.0982716269
1079,8822.9734240744,10189.9658774987,28898.6737340209,44973.8206085629,52433.5902421733,71460.0249580687
1081,5953.33067727096,7033.75310646694,18384.2266843213,42681.3541164046,44393.1726708728,54104.1822227052
1083,8926.25946630957,10757.579071711,27937.5332312564,57468.2984244883,54066.6995994029,73321.6653030594
1085,5586.92156809883,6379.42767215962,15221.5992872715,38555.299266695,42754.9022013761,42104.3443637933
1087,5787.44375054425,6710.87944999421,13357.4253444824,39792.5389007201,44137.1269549424,38475.3990543572
1089,9610.45311393763,10374.5096930733,28132.212462119,61993.3304447721,52783.2428894182,77399.0104367708
