FIPS,State,County,Cheapest Technology,Cost
1001,Autauga,Alabama,Solar PV (Utility),124.26161203080784
1009,Blount,Alabama,Solar PV (Utility),127.83761856047926
1017,Chambers,Alabama,Solar PV (Utility),123.55429469161348
1021,Chilton,Alabama,Solar PV (Utility),125.05496903740149
1033,Colbert,Alabama,Solar PV (Utility),129.0534639872196
1045,Dale,Alabama,Solar PV (Utility),121.10439392128303
1051,Elmore,Alabama,Solar PV (Utility),123.59941452531312
1065,Hale,Alabama,Solar PV (Utility),123.84302361066118
1079,Lawrence,Alabama,Solar PV (Utility),129.4498424905164
1083,Limestone,Alabama,Solar PV (Utility),129.58150199161534
1099,Monroe,Alabama,Solar PV (Utility),122.80295751871948
1107,Pickens,Alabama,Solar PV (Utility),125.40932770699867
1121,Talladega,Alabama,Solar PV (Utility),126.13825496304287
5141,Van Buren,Arkansas,Solar PV (Utility),130.04681024546164
5145,White,Arkansas,Solar PV (Utility),129.0521639872196
6005,Amador,California,Solar PV (Utility),120.99464433703392
6021,Glenn,California,Solar PV (Utility),126.75723263483793
6033,Lake,California,Solar PV (Utility),124.92430953630254
6043,Mariposa,California,Solar PV (Utility),117.30758822311336
6055,Napa,California,Solar PV (Utility),130.11183999601113
6089,Shasta,California,Solar PV (Utility),123.0252566872177
6099,Stanislaus,California,Solar PV (Utility),125.80750621029549
6115,Yuba,California,Solar PV (Utility),127.41943014033261
8003,Alamosa,Colorado,Solar PV (Utility),97.41425314142221
8013,Boulder,Colorado,Solar PV (Utility),111.78760901065743
8014,Broomfield,Colorado,Solar PV (Utility),111.78760901065743
8025,Crowley,Colorado,Solar PV (Utility),107.23966613959375
8031,Denver,Colorado,Solar PV (Utility),111.87544867805674
8035,Douglas,Colorado,Solar PV (Utility),106.73073805204781
8047,Gilpin,Colorado,Solar PV (Utility),108.76155040223159
12083,Marion,Florida,Solar PV (Utility),120.33104683153923
12087,Monroe,Florida,Solar PV (Utility),113.7080717765921
12095,Orange,Florida,Solar PV (Utility),118.96353198685013
12111,St. Lucie,Florida,Solar PV (Utility),118.05642539600737
12119,Sumter,Florida,Solar PV (Utility),119.13961132164873
12125,Union,Florida,Solar PV (Utility),121.01515425388376
13001,Appling,Georgia,Solar PV (Utility),120.81656500223535
13013,Barrow,Georgia,Solar PV (Utility),122.25120959747386
13029,Bryan,Georgia,Solar PV (Utility),120.2212972472901
13043,Candler,Georgia,Solar PV (Utility),120.17737741359046
13055,Chattooga,Georgia,Solar PV (Utility),127.35240038978316
13059,Clarke,Georgia,Solar PV (Utility),122.11895009637493
13071,Colquitt,Georgia,Solar PV (Utility),119.38102040699678
13079,Crawford,Georgia,Solar PV (Utility),121.72327159307811
13091,Dodge,Georgia,Solar PV (Utility),119.77849891029362
13107,Emanuel,Georgia,Solar PV (Utility),120.28792699783955
13113,Fayette,Georgia,Solar PV (Utility),123.51077485791383
13123,Gilmer,Georgia,Solar PV (Utility),126.26951446414179
8053,Hinsdale,Colorado,Solar PV (Utility),103.8371389447209
8057,Jackson,Colorado,Solar PV (Utility),109.35881815717684
8059,Jefferson,Colorado,Solar PV (Utility),109.02686940442949
8073,Lincoln,Colorado,Solar PV (Utility),107.59292480919093
8083,Montezuma,Colorado,Solar PV (Utility),101.62944725973853
8095,Phillips,Colorado,Solar PV (Utility),114.85588745278294
8105,Rio Grande,Colorado,Solar PV (Utility),98.29704981541516
8111,San Juan,Colorado,Solar PV (Utility),106.75344796889763
8123,Weld,Colorado,Solar PV (Utility),114.67970811798433
9015,Windham,Connecticut,Solar PV (Utility),160.80112441726607
12001,Alachua,Florida,Solar PV (Utility),120.70641541798621
12013,Calhoun,Florida,Solar PV (Utility),120.00049807879185
12023,Columbia,Florida,Solar PV (Utility),121.10489392128304
12039,Gadsden,Florida,Solar PV (Utility),119.2931807395975
12055,Highlands,Florida,Solar PV (Utility),116.82157005241724
12059,Holmes,Florida,Solar PV (Utility),120.8827947527848
12073,Leon,Florida,Solar PV (Utility),118.25671464765578
4003,Cochise,Arizona,Solar PV (Utility),96.50834655057945
4013,Maricopa,Arizona,Solar PV (Utility),99.88686382860246
5001,Arkansas,Arkansas,Solar PV (Utility),126.0065954619439
5009,Boone,Arkansas,Solar PV (Utility),129.8251110769634
5019,Clark,Arkansas,Solar PV (Utility),128.30112681432558
5029,Conway,Arkansas,Solar PV (Utility),129.77999124326374
5043,Drew,Arkansas,Solar PV (Utility),125.29917812274955
5051,Garland,Arkansas,Solar PV (Utility),129.5604920747655
5061,Howard,Arkansas,Solar PV (Utility),128.5895557333733
5071,Johnson,Arkansas,Solar PV (Utility),129.25115323886797
5085,Lonoke,Arkansas,Solar PV (Utility),127.59510947513122
5097,Montgomery,Arkansas,Solar PV (Utility),129.29577307256764
5101,Newton,Arkansas,Solar PV (Utility),128.56694581652346
5111,Poinsett,Arkansas,Solar PV (Utility),129.29637307256763
5123,St. Francis,Arkansas,Solar PV (Utility),127.75077889307998
5129,Searcy,Arkansas,Solar PV (Utility),129.64773174216484
13309,Wheeler,Georgia,Solar PV (Utility),120.0440179124915
13313,Whitfield,Georgia,Solar PV (Utility),127.79329872677961
13319,Wilkinson,Georgia,Solar PV (Utility),120.24270716413992
16015,Boise,Idaho,Solar PV (Utility),119.05027165424944
16021,Boundary,Idaho,Solar PV (Utility),143.16110085425694
16045,Gem,Idaho,Solar PV (Utility),122.75903768501983
16051,Jefferson,Idaho,Solar PV (Utility),122.18537984692442
16057,Latah,Idaho,Solar PV (Utility),139.62821415828515
16067,Minidoka,Idaho,Solar PV (Utility),118.25621464765578
16081,Teton,Idaho,Solar PV (Utility),123.22244593886613
17005,Bond,Illinois,Solar PV (Utility),139.84961332678336
17009,Brown,Illinois,Solar PV (Utility),141.30736783887176
17019,Champaign,Illinois,Solar PV (Utility),146.18575946268277
17029,Coles,Illinois,Solar PV (Utility),142.91919176890886
17035,Cumberland,Illinois,Solar PV (Utility),141.06395875352368
17049,Effingham,Illinois,Solar PV (Utility),140.3339314974795
17055,Franklin,Illinois,Solar PV (Utility),137.72896130920032
