FIPS,State,County,Cheapest Technology,Cost
1001,Autauga,Alabama,Wind,261.34728797612314
1009,Blount,Alabama,Wind,179.06047470432316
1017,Chambers,Alabama,Wind,312.6384910002219
1021,Chilton,Alabama,Wind,308.0860688215332
1033,Colbert,Alabama,Wind,173.9558314425297
1045,Dale,Alabama,Wind,277.2061754661455
1051,Elmore,Alabama,Wind,269.8937112503958
1065,Hale,Alabama,Wind,215.0043845645789
1079,Lawrence,Alabama,Wind,168.56552763918387
1083,Limestone,Alabama,Wind,197.19577328368993
1099,Monroe,Alabama,Wind,309.73566869238476
1107,Pickens,Alabama,Wind,306.50755908606976
1121,Talladega,Alabama,Wind,246.90786657232528
5141,Van Buren,Arkansas,Wind,134.29648102824237
5145,White,Arkansas,Wind,130.2318897972703
6005,Amador,California,Wind,207.52647669959032
6021,Glenn,California,Wind,151.15239379216078
6033,Lake,California,Wind,167.70778263606408
6043,Mariposa,California,Wind,273.6999053182782
6055,Napa,California,Wind,174.60320603948526
6089,Shasta,California,Wind,152.10659230913137
6099,Stanislaus,California,Wind,178.89943105508425
6115,Yuba,California,Wind,182.03498714754843
8003,Alamosa,Colorado,Wind,144.3283605241277
8013,Boulder,Colorado,Wind,78.94478677317151
8014,Broomfield,Colorado,Wind,78.94478677317151
8025,Crowley,Colorado,Wind,117.09311758738352
8031,Denver,Colorado,Wind,229.67853975300372
8035,Douglas,Colorado,Wind,113.84194460260588
8047,Gilpin,Colorado,Wind,55.259740741220064
12083,Marion,Florida,Wind,380.92368705901526
12087,Monroe,Florida,Wind,150.38550230289175
12095,Orange,Florida,Wind,222.99038675574684
12111,St. Lucie,Florida,Wind,383.2899516622104
12119,Sumter,Florida,Wind,306.43646895068173
12125,Union,Florida,Wind,305.6939408398754
13001,Appling,Georgia,Wind,567.8524470621928
13013,Barrow,Georgia,Wind,282.84877643258096
13029,Bryan,Georgia,Wind,718.9364507189656
13043,Candler,Georgia,Wind,350.64774154365773
13055,Chattooga,Georgia,Wind,179.29530848895013
13059,Clarke,Georgia,Wind,280.5486019647739
13071,Colquitt,Georgia,Wind,228.28593704524184
13079,Crawford,Georgia,Wind,167.91585304222838
13091,Dodge,Georgia,Wind,325.7081730747206
13107,Emanuel,Georgia,Wind,287.88762955898636
13113,Fayette,Georgia,Wind,218.09181390011767
13123,Gilmer,Georgia,Wind,110.10174067011157
8053,Hinsdale,Colorado,Wind,86.76754531510056
8057,Jackson,Colorado,Wind,92.78186033693925
8059,Jefferson,Colorado,Wind,103.46311442978008
8073,Lincoln,Colorado,Wind,96.93940508176209
8083,Montezuma,Colorado,Wind,161.64654085730004
8095,Phillips,Colorado,Wind,73.69786324060189
8105,Rio Grande,Colorado,Wind,99.23687954956915
8111,San Juan,Colorado,Wind,86.42259463816012
8123,Weld,Colorado,Wind,120.80755814141513
9015,Windham,Connecticut,Wind,119.71467935366833
12001,Alachua,Florida,Wind,367.08391349524754
12013,Calhoun,Florida,Wind,381.2261109790303
12023,Columbia,Florida,Wind,279.94565412474384
