fips,state_abbr,pollutant,model,season,elevated,damage
01001,AL,so2,AP2,annual,high stack,14330.2826641137922725292778004
01001,AL,nox,AP2,annual,high stack,2244.57412504298022892042370219
01001,AL,so2,EASIUR,annual,high stack,16974.20601772733486681118937354
01001,AL,nox,EASIUR,annual,high stack,2650.739732217109977204404537789
01001,AL,so2,EASIUR,winter,high stack,16283.50965420135915100365373332
01001,AL,nox,EASIUR,winter,high stack,5966.91821876626937916652948975
01001,AL,so2,EASIUR,spring,high stack,23429.71117292325379609951138
01001,AL,nox,EASIUR,spring,high stack,2400.360078931206009037774021913
01001,AL,so2,EASIUR,summer,high stack,16767.67932078552876900523496114
01001,AL,nox,EASIUR,summer,high stack,856.0975318345793221845064989884
01001,AL,so2,EASIUR,fall,high stack,11415.923922999855724017713351891
01001,AL,nox,EASIUR,fall,high stack,1379.5830993363836682593166150809
01001,AL,so2,InMAP,annual,high stack,16009.63527767185752904214790323
01001,AL,nox,InMAP,annual,high stack,5384.321930222869125730216050751
01003,AL,so2,AP2,annual,high stack,14368.405969555850285370726337937
01003,AL,nox,AP2,annual,high stack,2052.434487275453215589319279055
01003,AL,so2,EASIUR,annual,high stack,16293.96370888515928640002102664
01003,AL,nox,EASIUR,annual,high stack,2364.997209519649087669769358827
01003,AL,so2,EASIUR,winter,high stack,18679.66421146930344486638172571
01003,AL,nox,EASIUR,winter,high stack,4761.094896204915245940347902692
01003,AL,so2,EASIUR,spring,high stack,20411.77788556070734445354153899
01003,AL,nox,EASIUR,spring,high stack,2973.48960638194604570319692405
01003,AL,so2,EASIUR,summer,high stack,16270.75069874276464276933249403
01003,AL,nox,EASIUR,summer,high stack,869.5443934409722059990945941948
01003,AL,so2,EASIUR,fall,high stack,9813.662039767586283002353771564
01003,AL,nox,EASIUR,fall,high stack,855.8599420507628530364380143712
01003,AL,so2,InMAP,annual,high stack,17362.23221906232428323335093608
01003,AL,nox,InMAP,annual,high stack,6129.354180289772982887471692012
01005,AL,so2,AP2,annual,high stack,14897.129426350818119482498617674
01005,AL,nox,AP2,annual,high stack,2155.413965514297010260353712915
01005,AL,so2,EASIUR,annual,high stack,17274.01791020907838658936859451
01005,AL,nox,EASIUR,annual,high stack,2491.025928183091390381355820167
01005,AL,so2,EASIUR,winter,high stack,14960.04958021706358270447254572
01005,AL,nox,EASIUR,winter,high stack,5254.254762614750694281115495622
01005,AL,so2,EASIUR,spring,high stack,22478.61338482345896655134637666
01005,AL,nox,EASIUR,spring,high stack,2402.601087902876402215914120916
01005,AL,so2,EASIUR,summer,high stack,20169.17544351163697614046375791
01005,AL,nox,EASIUR,summer,high stack,1211.8418711512566293840369178242
01005,AL,so2,EASIUR,fall,high stack,11488.233232284092814181530680802
01005,AL,nox,EASIUR,fall,high stack,1095.4059910634894864918143734243
01005,AL,so2,InMAP,annual,high stack,14749.376947097098556163028056998
01005,AL,nox,InMAP,annual,high stack,5146.41433906830722512534296153
01007,AL,so2,AP2,annual,high stack,14764.800973919795633838690611477
01007,AL,nox,AP2,annual,high stack,2513.891444600045132323672511624
01007,AL,so2,EASIUR,annual,high stack,17999.83552719639945766776368477
01007,AL,nox,EASIUR,annual,high stack,2847.924762946703959932028092722
01007,AL,so2,EASIUR,winter,high stack,17840.379327110528477619525223
01007,AL,nox,EASIUR,winter,high stack,6132.247073854711220121133215002
01007,AL,so2,EASIUR,spring,high stack,24298.16041873919486449210929471
01007,AL,nox,EASIUR,spring,high stack,2965.757287468236744153883598848
01007,AL,so2,EASIUR,summer,high stack,18053.56638063799335496108003387
01007,AL,nox,EASIUR,summer,high stack,1054.1651520033698465904258791973
01007,AL,so2,EASIUR,fall,high stack,11807.235982297697513259357136656
01007,AL,nox,EASIUR,fall,high stack,1239.5295384605255719135171354673
01007,AL,so2,InMAP,annual,high stack,21176.74840188204929615060776853
01007,AL,nox,InMAP,annual,high stack,7485.243674267451547186166478484
01009,AL,so2,AP2,annual,high stack,18672.32339786805578398766233748
01009,AL,nox,AP2,annual,high stack,3228.591254582185668018198967695
01009,AL,so2,EASIUR,annual,high stack,19189.35794385740336747208275405
01009,AL,nox,EASIUR,annual,high stack,3800.274239212581806405775967607
01009,AL,so2,EASIUR,winter,high stack,18395.88000838666121292198943378
01009,AL,nox,EASIUR,winter,high stack,7795.50894568379822608953927666
01009,AL,so2,EASIUR,spring,high stack,26293.75744123619496250762761503
01009,AL,nox,EASIUR,spring,high stack,4046.213171760488357706874070204
01009,AL,so2,EASIUR,summer,high stack,20132.65316992005846835361306388
01009,AL,nox,EASIUR,summer,high stack,1356.9215807495423141097687516091
01009,AL,so2,EASIUR,fall,high stack,11935.14115588654580915594836114
01009,AL,nox,EASIUR,fall,high stack,2002.453258656502918225396348226
01009,AL,so2,InMAP,annual,high stack,29574.86599828377171428267243381
01009,AL,nox,InMAP,annual,high stack,10253.776657896942498443674521627
01011,AL,so2,AP2,annual,high stack,14960.443934641172660663148426269
01011,AL,nox,AP2,annual,high stack,2204.318802165353565271664077637
01011,AL,so2,EASIUR,annual,high stack,17398.60657320550658763315649007
01011,AL,nox,EASIUR,annual,high stack,2543.014664109291186012561520437
01011,AL,so2,EASIUR,winter,high stack,14398.202413028150176335073926931
01011,AL,nox,EASIUR,winter,high stack,5300.379806740276869683753254273
01011,AL,so2,EASIUR,spring,high stack,23002.94458659848234650853802561
01011,AL,nox,EASIUR,spring,high stack,2429.279547720388571205075990261
01011,AL,so2,EASIUR,summer,high stack,20487.21568316103276676183830699
01011,AL,nox,EASIUR,summer,high stack,1221.0888006009596712438127144409
01011,AL,so2,EASIUR,fall,high stack,11706.063610034085630418701124483
01011,AL,nox,EASIUR,fall,high stack,1221.3105013755396319176041227731
01011,AL,so2,InMAP,annual,high stack,15818.80490504107129534740656646
01011,AL,nox,InMAP,annual,high stack,5597.86786574856647086162317337
01013,AL,so2,AP2,annual,high stack,13297.208892884605295372203247838
01013,AL,nox,AP2,annual,high stack,2107.95633690099196030653774112
01013,AL,so2,EASIUR,annual,high stack,16735.06335062625283741601381994
01013,AL,nox,EASIUR,annual,high stack,2355.514253743994748865285467712
01013,AL,so2,EASIUR,winter,high stack,14887.07985087378914340054875554
01013,AL,nox,EASIUR,winter,high stack,5044.655501662109457549967555419
01013,AL,so2,EASIUR,spring,high stack,21207.61236584185715997620955259
01013,AL,nox,EASIUR,spring,high stack,2246.998693529671815315446302459
01013,AL,so2,EASIUR,summer,high stack,19142.39198224055224971239837291
01013,AL,nox,EASIUR,summer,high stack,1054.5815884798121272605503547297
01013,AL,so2,EASIUR,fall,high stack,11703.169203548828098269813852957
01013,AL,nox,EASIUR,fall,high stack,1075.8212313043641729622963023085
01013,AL,so2,InMAP,annual,high stack,15871.67377782264078587729325796
01013,AL,nox,InMAP,annual,high stack,5354.047471676396109351140818181
01015,AL,so2,AP2,annual,high stack,20199.54955836095128065325565217
01015,AL,nox,AP2,annual,high stack,3316.562274639282201954898104894
01015,AL,so2,EASIUR,annual,high stack,18895.87823190100466113398867184
01015,AL,nox,EASIUR,annual,high stack,3625.910835599705606299261654767
01015,AL,so2,EASIUR,winter,high stack,17067.45168717942171251297202975
01015,AL,nox,EASIUR,winter,high stack,7279.961716371889754441519012019
01015,AL,so2,EASIUR,spring,high stack,25363.88816344567165798345208624
01015,AL,nox,EASIUR,spring,high stack,3990.884780248211829935165275096
01015,AL,so2,EASIUR,summer,high stack,21172.97452061068956740811178457
01015,AL,nox,EASIUR,summer,high stack,1474.6183638916868969782481060174
01015,AL,so2,EASIUR,fall,high stack,11979.198556368036784597520481719
01015,AL,nox,EASIUR,fall,high stack,1758.178481887067607570927785257
01015,AL,so2,InMAP,annual,high stack,28068.98334472856326806263198556
01015,AL,nox,InMAP,annual,high stack,9317.902972049789716066462137269
01017,AL,so2,AP2,annual,high stack,17584.23548053242434684957182224
01017,AL,nox,AP2,annual,high stack,2571.405313680802948189821316322
