fips,state_abbr,pollutant,model,season,elevated,damage
01001,AL,so2,AP2,annual,high stack,36817.6035897348009389394291745875348792
01001,AL,nox,AP2,annual,high stack,5765.47601890785697816128187529691697362
01001,AL,so2,EASIUR,annual,high stack,43610.70512767809389401682957697553000092
01001,AL,nox,EASIUR,annual,high stack,6809.047954146925288278459379931358696222
01001,AL,so2,EASIUR,winter,high stack,41836.08086600747283388072553073958151736
01001,AL,nox,EASIUR,winter,high stack,15329.39221688167115461775962275424747050
01001,AL,so2,EASIUR,spring,high stack,60197.00364424702422172142480363313324
01001,AL,nox,EASIUR,spring,high stack,6165.740951513295438755777566104896976774
01001,AL,so2,EASIUR,summer,high stack,43080.07067463910500548784058480251394572
01001,AL,nox,EASIUR,summer,high stack,2198.0267326677236547977351375521566181032
01001,AL,so2,EASIUR,fall,high stack,29329.665325820464061938968731067939140418
01001,AL,nox,EASIUR,fall,high stack,3543.0319155250069734380032367040382594182
01001,AL,so2,InMAP,annual,high stack,41132.40825542930799669153645395960781954
01001,AL,nox,InMAP,annual,high stack,13832.512309869545623463999979394641874698
01003,AL,so2,AP2,annual,high stack,36915.554797161436562368783322350135373526
01003,AL,nox,AP2,annual,high stack,5271.806613917519589136980032662484182890
01003,AL,so2,EASIUR,annual,high stack,41862.94074258188512795055913149700791472
01003,AL,nox,EASIUR,annual,high stack,6074.882204697729396716737186251873649746
01003,AL,so2,EASIUR,winter,high stack,47992.58354445309341370684317733515315058
01003,AL,nox,EASIUR,winter,high stack,12231.238764065379517764149011620910325016
01003,AL,so2,EASIUR,spring,high stack,52442.94858521017129951549427000824546002
01003,AL,nox,EASIUR,spring,high stack,7638.29766123984196944772918931468126190
01003,AL,so2,EASIUR,summer,high stack,41803.29894748859085961535724788395759794
01003,AL,nox,EASIUR,summer,high stack,2232.5761064739092554633265051448783553704
01003,AL,so2,EASIUR,fall,high stack,25212.931893174977268143389640943492633672
01003,AL,nox,EASIUR,fall,high stack,2197.4162870117868441917440389270246566976
01003,AL,so2,InMAP,annual,high stack,44607.67101227850477568302070739816742384
01003,AL,nox,InMAP,annual,high stack,15746.743188321328956405386704269818930376
