FIPS,State,County,Cheapest Technology,Cost
1001,Autauga,Alabama,Natural Gas Combined Cycle,86.80332606426703
1009,Blount,Alabama,Natural Gas Combined Cycle,87.69108561516852
1017,Chambers,Alabama,Natural Gas Combined Cycle,90.5798738136231
1021,Chilton,Alabama,Natural Gas Combined Cycle,87.4180973645246
1033,Colbert,Alabama,Natural Gas Combined Cycle,87.81524756813059
1045,Dale,Alabama,Natural Gas Combined Cycle,91.50685051336553
1051,Elmore,Alabama,Natural Gas Combined Cycle,88.11603876400945
1065,Hale,Alabama,Natural Gas Combined Cycle,87.79262796503974
1079,Lawrence,Alabama,Natural Gas Combined Cycle,87.65808471697152
1083,Limestone,Alabama,Natural Gas Combined Cycle,87.051403704093
1099,Monroe,Alabama,Natural Gas Combined Cycle,85.26975641413824
1107,Pickens,Alabama,Natural Gas Combined Cycle,87.04776021568367
1121,Talladega,Alabama,Natural Gas Combined Cycle,88.6201893645246
5141,Van Buren,Arkansas,Natural Gas Combined Cycle,94.40046874787994
5145,White,Arkansas,Natural Gas Combined Cycle,90.1742745964633
6005,Amador,California,Natural Gas Combined Cycle,89.30136214804011
6021,Glenn,California,Natural Gas Combined Cycle,87.4299412498431
6033,Lake,California,Natural Gas Combined Cycle,88.09287475370665
6043,Mariposa,California,Natural Gas Combined Cycle,89.89595694700982
6055,Napa,California,Natural Gas Combined Cycle,88.61865975628236
6089,Shasta,California,Natural Gas Combined Cycle,87.83374744314627
6099,Stanislaus,California,Natural Gas Combined Cycle,91.17818555267637
6115,Yuba,California,Natural Gas Combined Cycle,87.98299084778253
8003,Alamosa,Colorado,Natural Gas Combined Cycle,115.31719497969314
8013,Boulder,Colorado,Natural Gas Combined Cycle,115.63616723033705
8014,Broomfield,Colorado,Natural Gas Combined Cycle,115.63616723033705
8025,Crowley,Colorado,Natural Gas Combined Cycle,115.24694102673106
8031,Denver,Colorado,Natural Gas Combined Cycle,114.65284748098098
8035,Douglas,Colorado,Natural Gas Combined Cycle,115.53014348098098
8047,Gilpin,Colorado,Natural Gas Combined Cycle,115.70285053059462
12083,Marion,Florida,Natural Gas Combined Cycle,102.5747108155235
12087,Monroe,Florida,Natural Gas Combined Cycle,102.4522469199022
12095,Orange,Florida,Natural Gas Combined Cycle,102.04583416797041
12111,St. Lucie,Florida,Natural Gas Combined Cycle,103.15862082067491
12119,Sumter,Florida,Natural Gas Combined Cycle,101.54639176590986
12125,Union,Florida,Natural Gas Combined Cycle,101.23188536384929
13001,Appling,Georgia,Natural Gas Combined Cycle,93.23028496761543
13013,Barrow,Georgia,Natural Gas Combined Cycle,94.3551794637519
13029,Bryan,Georgia,Natural Gas Combined Cycle,89.58461562031994
13043,Candler,Georgia,Natural Gas Combined Cycle,91.07905556813058
13055,Chattooga,Georgia,Natural Gas Combined Cycle,90.84824231491095
13059,Clarke,Georgia,Natural Gas Combined Cycle,95.57673971439581
13071,Colquitt,Georgia,Natural Gas Combined Cycle,95.6806782627216
13079,Crawford,Georgia,Natural Gas Combined Cycle,94.05903756297919
13091,Dodge,Georgia,Natural Gas Combined Cycle,94.25742606426704
13107,Emanuel,Georgia,Natural Gas Combined Cycle,90.92395811645638
13113,Fayette,Georgia,Natural Gas Combined Cycle,90.7451954637519
13123,Gilmer,Georgia,Natural Gas Combined Cycle,92.74648301465339
8053,Hinsdale,Colorado,Natural Gas Combined Cycle,114.88241413368546
8057,Jackson,Colorado,Natural Gas Combined Cycle,116.39037447840528
8059,Jefferson,Colorado,Natural Gas Combined Cycle,115.26634913110976
8073,Lincoln,Colorado,Natural Gas Combined Cycle,116.71441232698865
8083,Montezuma,Colorado,Natural Gas Combined Cycle,114.13904713626115
8095,Phillips,Colorado,Natural Gas Combined Cycle,116.9312602747993
8105,Rio Grande,Colorado,Natural Gas Combined Cycle,115.21421858278396
8111,San Juan,Colorado,Natural Gas Combined Cycle,114.95735273420061
8123,Weld,Colorado,Natural Gas Combined Cycle,114.52699282827649
9015,Windham,Connecticut,Natural Gas Combined Cycle,101.49216332711416
12001,Alachua,Florida,Natural Gas Combined Cycle,102.66406631423565
12013,Calhoun,Florida,Natural Gas Combined Cycle,98.2500421576676
12023,Columbia,Florida,Natural Gas Combined Cycle,101.40960036127359
12039,Gadsden,Florida,Natural Gas Combined Cycle,100.82094355715246
12055,Highlands,Florida,Natural Gas Combined Cycle,103.71900241861434
12059,Holmes,Florida,Natural Gas Combined Cycle,91.34566816349434
12073,Leon,Florida,Natural Gas Combined Cycle,102.13019790702369
4003,Cochise,Arizona,Natural Gas Combined Cycle,96.37149312350817
4013,Maricopa,Arizona,Natural Gas Combined Cycle,98.65083333226556
5001,Arkansas,Arkansas,Natural Gas Combined Cycle,86.92716464350124
5009,Boone,Arkansas,Natural Gas Combined Cycle,96.08089635097078
5019,Clark,Arkansas,Natural Gas Combined Cycle,91.09892724401638
5029,Conway,Arkansas,Natural Gas Combined Cycle,93.86338989672086
5043,Drew,Arkansas,Natural Gas Combined Cycle,86.50765779234219
5051,Garland,Arkansas,Natural Gas Combined Cycle,92.20095409517545
5061,Howard,Arkansas,Natural Gas Combined Cycle,96.53938490377267
5071,Johnson,Arkansas,Natural Gas Combined Cycle,96.2446320481375
5085,Lonoke,Arkansas,Natural Gas Combined Cycle,89.2712394946603
5097,Montgomery,Arkansas,Natural Gas Combined Cycle,92.00683974530423
5101,Newton,Arkansas,Natural Gas Combined Cycle,96.42277889929657
5111,Poinsett,Arkansas,Natural Gas Combined Cycle,89.5133160481375
5123,St. Francis,Arkansas,Natural Gas Combined Cycle,88.56685129620574
5129,Searcy,Arkansas,Natural Gas Combined Cycle,95.69341324916779
13309,Wheeler,Georgia,Natural Gas Combined Cycle,93.02886866478217
13313,Whitfield,Georgia,Natural Gas Combined Cycle,90.65287825241879
13319,Wilkinson,Georgia,Natural Gas Combined Cycle,91.68749006426702
16015,Boise,Idaho,Natural Gas Combined Cycle,82.53479997601787
16021,Boundary,Idaho,Natural Gas Combined Cycle,79.1921335739573
16045,Gem,Idaho,Natural Gas Combined Cycle,81.8592661274345
16051,Jefferson,Idaho,Natural Gas Combined Cycle,83.45925962099524
16057,Latah,Idaho,Natural Gas Combined Cycle,79.73273972537393
16067,Minidoka,Idaho,Natural Gas Combined Cycle,83.16614252434364
16081,Teton,Idaho,Natural Gas Combined Cycle,85.18003841996496
17005,Bond,Illinois,Natural Gas Combined Cycle,163.57390784022869
17009,Brown,Illinois,Natural Gas Combined Cycle,171.9425429001451
17019,Champaign,Illinois,Natural Gas Combined Cycle,167.3571734587737
17029,Coles,Illinois,Natural Gas Combined Cycle,165.15500614821335
17035,Cumberland,Illinois,Natural Gas Combined Cycle,164.17276654512247
17049,Effingham,Illinois,Natural Gas Combined Cycle,162.99935494203166
17055,Franklin,Illinois,Natural Gas Combined Cycle,158.42559222683497
17065,Hamilton,Illinois,Natural Gas Combined Cycle,158.42282257670624
18051,Gibson,Indiana,Natural Gas Combined Cycle,108.97347882447568
18059,Hancock,Indiana,Natural Gas Combined Cycle,106.72924063117253
18069,Huntington,Indiana,Natural Gas Combined Cycle,104.06462968593758
18079,Jennings,Indiana,Natural Gas Combined Cycle,108.99483977486206
18085,Kosciusko,Indiana,Natural Gas Combined Cycle,104.88677963889963
18095,Madison,Indiana,Natural Gas Combined Cycle,105.18072303323308
18105,Monroe,Indiana,Natural Gas Combined Cycle,109.01965232833925
18115,Ohio,Indiana,Natural Gas Combined Cycle,107.65046797331662
18125,Pike,Indiana,Natural Gas Combined Cycle,109.49041552421815
18131,Pulaski,Indiana,Natural Gas Combined Cycle,106.77416959186169
18139,Rush,Indiana,Natural Gas Combined Cycle,106.70332057898318
