FIPS,State,County,Cheapest Technology,Cost
1001,Autauga,Alabama,Natural Gas Combined Cycle,46.15067006426703
1009,Blount,Alabama,Natural Gas Combined Cycle,46.48941961516853
1017,Chambers,Alabama,Natural Gas Combined Cycle,47.32265981362311
1021,Chilton,Alabama,Natural Gas Combined Cycle,46.363061364524604
1033,Colbert,Alabama,Natural Gas Combined Cycle,46.71042556813059
1045,Dale,Alabama,Natural Gas Combined Cycle,47.60378251336554
1051,Elmore,Alabama,Natural Gas Combined Cycle,46.55564076400946
1065,Hale,Alabama,Natural Gas Combined Cycle,46.51457796503975
1079,Lawrence,Alabama,Natural Gas Combined Cycle,46.58940871697152
1083,Limestone,Alabama,Natural Gas Combined Cycle,45.61035570409301
1099,Monroe,Alabama,Natural Gas Combined Cycle,45.65101241413825
1107,Pickens,Alabama,Natural Gas Combined Cycle,46.314628215683676
1121,Talladega,Alabama,Natural Gas Combined Cycle,46.748117364524596
5141,Van Buren,Arkansas,Natural Gas Combined Cycle,50.63311874787995
5145,White,Arkansas,Natural Gas Combined Cycle,49.191530596463316
6005,Amador,California,Natural Gas Combined Cycle,45.96367214804011
6021,Glenn,California,Natural Gas Combined Cycle,45.473301249843104
6033,Lake,California,Natural Gas Combined Cycle,45.920722753706656
6043,Mariposa,California,Natural Gas Combined Cycle,46.09109694700983
6055,Napa,California,Natural Gas Combined Cycle,46.24668175628236
6089,Shasta,California,Natural Gas Combined Cycle,45.19510744314628
6099,Stanislaus,California,Natural Gas Combined Cycle,46.84818555267638
6115,Yuba,California,Natural Gas Combined Cycle,45.52508084778254
8003,Alamosa,Colorado,Natural Gas Combined Cycle,71.45504697969314
8013,Boulder,Colorado,Natural Gas Combined Cycle,71.59601723033705
8014,Broomfield,Colorado,Natural Gas Combined Cycle,71.59601723033705
8025,Crowley,Colorado,Natural Gas Combined Cycle,71.25248502673108
8031,Denver,Colorado,Natural Gas Combined Cycle,71.31993148098098
8035,Douglas,Colorado,Natural Gas Combined Cycle,71.60115948098098
8047,Gilpin,Colorado,Natural Gas Combined Cycle,71.63337453059462
12083,Marion,Florida,Natural Gas Combined Cycle,54.328666815523505
12087,Monroe,Florida,Natural Gas Combined Cycle,54.55675091990221
12095,Orange,Florida,Natural Gas Combined Cycle,54.30856216797042
12111,St. Lucie,Florida,Natural Gas Combined Cycle,54.83005482067492
12119,Sumter,Florida,Natural Gas Combined Cycle,54.02258576590986
12125,Union,Florida,Natural Gas Combined Cycle,53.7960573638493
13001,Appling,Georgia,Natural Gas Combined Cycle,48.41538296761545
13013,Barrow,Georgia,Natural Gas Combined Cycle,48.5404654637519
13029,Bryan,Georgia,Natural Gas Combined Cycle,47.41041762031994
13043,Candler,Georgia,Natural Gas Combined Cycle,47.75636956813059
13055,Chattooga,Georgia,Natural Gas Combined Cycle,47.48668231491096
13059,Clarke,Georgia,Natural Gas Combined Cycle,48.97226971439582
13071,Colquitt,Georgia,Natural Gas Combined Cycle,48.9036622627216
13079,Crawford,Georgia,Natural Gas Combined Cycle,48.399137562979185
13091,Dodge,Georgia,Natural Gas Combined Cycle,48.540920064267034
13107,Emanuel,Georgia,Natural Gas Combined Cycle,47.605364116456386
13113,Fayette,Georgia,Natural Gas Combined Cycle,47.3829534637519
13123,Gilmer,Georgia,Natural Gas Combined Cycle,48.080257014653384
8053,Hinsdale,Colorado,Natural Gas Combined Cycle,71.55836413368547
8057,Jackson,Colorado,Natural Gas Combined Cycle,71.7207384784053
8059,Jefferson,Colorado,Natural Gas Combined Cycle,71.52491513110976
8073,Lincoln,Colorado,Natural Gas Combined Cycle,71.73787632698865
8083,Montezuma,Colorado,Natural Gas Combined Cycle,71.47653713626117
8095,Phillips,Colorado,Natural Gas Combined Cycle,71.6744222747993
8105,Rio Grande,Colorado,Natural Gas Combined Cycle,71.60986658278397
8111,San Juan,Colorado,Natural Gas Combined Cycle,71.61352473420062
8123,Weld,Colorado,Natural Gas Combined Cycle,71.1149648282765
9015,Windham,Connecticut,Natural Gas Combined Cycle,54.68786732711417
12001,Alachua,Florida,Natural Gas Combined Cycle,54.279576314235655
12013,Calhoun,Florida,Natural Gas Combined Cycle,52.463290157667615
12023,Columbia,Florida,Natural Gas Combined Cycle,53.6961983612736
12039,Gadsden,Florida,Natural Gas Combined Cycle,53.25689955715247
12055,Highlands,Florida,Natural Gas Combined Cycle,54.88371041861435
12059,Holmes,Florida,Natural Gas Combined Cycle,47.55990416349432
12073,Leon,Florida,Natural Gas Combined Cycle,53.66932390702369
4003,Cochise,Arizona,Natural Gas Combined Cycle,52.82579312350818
4013,Maricopa,Arizona,Natural Gas Combined Cycle,54.08963533226557
5001,Arkansas,Arkansas,Natural Gas Combined Cycle,47.96996064350125
5009,Boone,Arkansas,Natural Gas Combined Cycle,51.360110350970785
5019,Clark,Arkansas,Natural Gas Combined Cycle,49.338703244016386
5029,Conway,Arkansas,Natural Gas Combined Cycle,50.39066389672088
5043,Drew,Arkansas,Natural Gas Combined Cycle,47.764601792342184
5051,Garland,Arkansas,Natural Gas Combined Cycle,49.76282209517546
5061,Howard,Arkansas,Natural Gas Combined Cycle,54.721872903772685
5071,Johnson,Arkansas,Natural Gas Combined Cycle,51.24081604813752
5085,Lonoke,Arkansas,Natural Gas Combined Cycle,48.79249349466031
5097,Montgomery,Arkansas,Natural Gas Combined Cycle,49.70851774530424
5101,Newton,Arkansas,Natural Gas Combined Cycle,51.36849489929658
5111,Poinsett,Arkansas,Natural Gas Combined Cycle,49.08162804813752
5123,St. Francis,Arkansas,Natural Gas Combined Cycle,48.66030329620574
